NM_MUN,area_calc_km2
Guariba,270.8214956864581
São José do Rio Preto,433.8007612120236
Santos,280.92838533856104
Agudos,970.2104134040451
Morro Agudo,1390.7253431632175
Presidente Alves,287.89680705096157
Nova Independência,267.82513679114714
Itajobi,503.86183727360543
Mogi das Cruzes,712.2289737827625
Indiana,130.6046622002427
Panorama,360.24005207936017
Diadema,30.727914829079914
Jeriquara,142.11071000862327
Coroados,248.47974756908008
Louveira,55.747800917658324
Tremembé,190.9600295268377
Auriflama,437.7978239579734
Oriente,219.98976459169256
Marinópolis,78.48041341902935
Guaimbê,218.99828173665387
Ituverava,705.597157188142
Echaporã,518.5067170042864
Iacanga,549.315983770786
Alambari,159.81118230588027
Santana da Ponte Pensa,130.96720896108351
Cananéia,1239.1863953574386
Castilho,1076.843863959897
Aguaí,474.695036680166
Cruzeiro,305.45440204271455
Colômbia,730.7929338503199
Votorantim,184.31355665308524
Rincão,317.1588450860595
Bauru,670.1395695848141
Regente Feijó,265.85511045487084
Sandovalina,461.1117711191899
Riolândia,635.1942834571336
Limeira,581.0945797080844
Gabriel Monteiro,139.71364666416562
São Francisco,76.1774817541388
Poá,17.257910489018553
Canas,53.218522541902004
Cachoeira Paulista,287.759572224723
Piquete,175.8566763418026
Mongaguá,142.74263885788727
Tapiraí,755.8249671385627
Ipeúna,190.2248264034989
Sorocaba,450.20728426896875
Clementina,169.79235473498346
Turmalina,148.8729590800874
Carapicuíba,34.548304208557376
Artur Nogueira,178.09546892340495
Estrela d'Oeste,298.3937700505377
Rosana,755.4759213996338
Tatuí,524.4451856249927
Porto Ferreira,245.09791963274722
Boracéia,122.47317492436947
Caiuá,557.8712905229081
Pedro de Toledo,670.7048901275052
Balbinos,92.01616871244732
Lupércio,155.9922154924879
Guaraçaí,574.7642209651934
Lavínia,542.487363880397
Santa Isabel,363.1864510733542
Potim,44.608893042520094
São José dos Campos,1098.777413028824
São Bento do Sapucaí,252.40868138219574
São Sebastião,402.11254101465227
Ipiguá,136.6285134939451
Arealva,507.93736682339005
Andradina,973.8565265365035
Ocauçu,302.7229061659816
Ubarana,210.9563893302765
Nazaré Paulista,326.15121323908875
Itirapuã,161.1928923237583
Paraguaçu Paulista,1009.0257109038578
Itapeva,1831.82369067644
Joanópolis,374.13665217200713
